Años;Pesados;Ligeros;Total;Er;N
2000;2868;21454;24322;7,60155E-05;15586144,11
2001;3282;24534;27816;7,32738E-05;17836026,83
2002;3386;25312;28698;7,26537E-05;18401214,77
2003;3574;26512;30292;7,1592E-05;19422900,64
2004;4234;31423;35879;6,8362E-05;23009670,21
2005;4589;34042;38889;6,68788E-05;24938917,47
2006;4750;35293;40329;6,62535E-05;25813871,87
2007;4966;36815;42076;6,54557E-05;26987723,72
2008;4933;36944;41877;6,55747E-05;26808385,24
2009;3948;40486;44634;6,9677E-05;21455403,39
2010;3971;42467;46646;6,95668E-05;21580396,88
2011;5023;35850;41039;6,52525E-05;27297490,19
2012;4578;29423;34137;6,69225E-05;24879137,98
2013;4373;28831;33406;6,7763E-05;23765065,61
2014;4526;29416;34160;6,71311E-05;24596544,01
2015;4982;32797;37947;6,53983E-05;27074675,71
2016;4863;33763;38626;6,58305E-05;26427970,29
2017;5168;35729;40897;6,47485E-05;28085492,59
2018;5360;37481;42841;6,41082E-05;29128916,46
2019;5553;39233;44786;6,34934E-05;30177774,84
2020;5745;40986;46731;6,29081E-05;31221198,71
2021;5938;42737;48675;6,23444E-05;32270057,08
