student	age	S1	S2	S3	S4	S5	S6	S7	S8
1	18	8	7	7	9	1	6	6	7
2	18	0	7	6	3	7	10	0	2
3	19	5	5	3	10	7	0	9	9
4	19	8	7	6	8	1	6	8	7
5	19	8	9	5	4	2	6	2	5
6	20	8	9	4	5	5	3	2	1
7	20	6	0	8	2	1	4	6	2
8	17	8	8	10	4	4	9	8	3
9	18	1	9	4	1	7	8	2	6
10	17	2	3	8	7	2	2	4	3
11	17	3	7	5	6	7	7	4	6
12	17	8	5	6	9	1	4	1	6
13	17	4	1	5	6	4	7	2	2
14	18	1	6	1	3	8	1	3	9
15	18	4	7	1	9	6	4	9	10
16	18	7	8	5	2	8	0	3	7
17	19	4	1	6	4	8	8	0	4
18	19	5	2	6	1	8	10	2	0
19	20	8	6	1	7	7	5	6	5
20	20	8	1	6	9	4	4	8	3
21	20	10	1	0	7	6	3	8	7
22	20	7	1	4	7	9	8	1	2
23	21	4	0	7	6	8	1	1	2
24	21	3	6	3	5	1	3	3	2
25	17	9	2	2	8	2	5	6	9
26	18	3	5	2	4	5	0	1	9
27	18	2	4	8	2	1	6	4	7
28	18	9	7	6	3	1	1	3	5
29	19	4	4	10	8	4	2	5	7
30	19	2	8	5	4	2	2	10	7
31	18	8	8	4	9	8	10	7	2
32	17	4	7	9	0	3	3	10	6
33	18	1	1	0	4	8	3	2	6
34	19	7	7	3	10	0	7	7	8
35	18	6	10	9	5	3	1	3	7
36	21	2	1	6	3	3	7	7	4
37	21	8	10	9	4	7	3	6	4
